NDomain	NNode	Time(ms)
1	8	0.142211
1	5	0.140972
1	5	0.148351
1	5	0.163872
4	52	11.9257
4	41	6.86778
4	53	7.63631
4	52	7.67073
4	50	7.8697
4	41	7.0175
4	57	8.2138
4	43	6.80693
4	54	8.04172
4	49	5.3263
4	37	3.90221
4	55	4.85537
4	43	4.20561
4	50	4.5292
4	34	3.80708
4	44	4.24798
4	52	4.71986
4	54	4.95991
4	48	4.41874
4	56	4.78217
4	51	7.59523
4	51	7.12867
4	38	6.12458
4	48	6.46014
4	46	6.37693
4	50	6.63789
4	42	6.21379
4	46	7.33311
4	51	8.68649
4	37	7.62942
4	43	5.57786
4	32	3.47918
4	50	3.81356
4	42	3.55584
4	34	3.5272
4	28	3.43084
4	43	3.50174
4	33	3.51424
4	37	3.32897
4	41	3.50903
4	28	5.1502
4	28	5.14308
4	31	5.40803
4	31	5.34292
4	34	5.53367
4	31	5.53946
4	32	5.26103
4	27	5.25222
4	29	5.20809
4	32	4.57826
4	42	3.83025
4	29	3.25895
4	35	3.23445
1	88	3.2086
4	47	4.39482
4	19	3.24148
4	43	3.9617
4	29	3.3591
4	17	2.92376
4	35	3.59266
4	16	6.37146
4	29	5.34056
4	20	4.95697
4	11	4.35538
4	35	5.77196
4	11	4.84901
4	26	5.28361
4	41	6.44144
4	29	5.49751
4	51	4.9706
4	48	4.15108
4	52	4.49617
4	47	4.16623
4	45	4.22704
4	51	4.39205
4	44	3.91666
4	47	3.96091
4	37	3.50928
4	48	3.85115
4	27	3.35862
4	23	6.55839
4	31	5.99271
4	29	5.73627
4	38	6.01962
4	37	5.85583
4	46	6.27597
4	48	6.72922
4	50	7.27556
4	38	6.03726
4	37	3.90185
4	46	4.13432
4	21	3.31932
4	32	3.66486
4	24	3.33001
4	18	3.14248
4	24	3.23621
4	30	3.67231
4	27	3.24979
4	33	3.5168
4	45	4.34288
4	32	6.06772
4	45	6.66345
4	16	5.43484
4	15	6.8146
4	15	6.15391
4	28	5.67914
4	23	5.28694
4	20	5.02386
4	17	4.94617
4	22	5.10112
4	27	3.86981
4	27	3.53944
4	19	3.13679
4	26	3.07255
4	21	2.9809
4	31	3.3742
4	19	3.07736
4	38	3.59632
4	33	3.34529
4	31	3.2272
4	37	7.14693
4	11	5.11439
4	9	4.36318
4	13	4.13255
4	10	4.37552
4	48	7.25684
4	47	8.78849
4	44	8.99392
4	48	6.16575
4	30	3.43586
4	31	3.42371
4	31	3.37886
4	26	3.26511
4	13	2.74339
4	47	4.25463
0	5	0.0008
4	29	3.83459
4	29	3.29455
4	25	3.7777
4	35	4.46516
4	31	6.2371
4	30	5.11934
4	40	5.57279
4	27	4.75143
4	37	5.88968
4	30	5.22278
4	34	5.40643
4	31	5.17983
4	26	4.83569
4	36	5.50283
4	29	5.52634
4	39	3.87318
4	42	3.64901
4	42	3.51365
4	48	4.01685
4	44	4.07432
4	46	4.07499
4	50	4.22233
4	43	3.77352
4	35	3.96246
4	26	5.56683
4	29	5.41453
4	34	5.93943
4	34	6.16993
4	28	5.508
4	39	6.47759
4	41	7.09256
4	34	5.8229
4	33	6.45482
4	43	5.47117
4	40	3.9965
4	39	4.1853
4	41	3.8974
4	43	4.00443
4	42	3.86119
4	27	3.13312
4	24	2.99594
4	24	3.07763
4	43	3.85416
4	32	3.30063
4	37	5.71115
4	41	6.29614
4	41	5.91083
4	46	6.22848
4	45	6.18728
4	43	6.14055
4	39	5.66749
4	40	5.76935
4	43	5.63076
4	28	5.07282
4	19	3.10797
4	30	3.57322
4	16	3.00611
4	36	3.40019
4	18	2.84219
4	20	2.82899
4	40	3.39592
4	26	2.90286
4	26	3.45072
4	26	3.42446
4	41	6.28166
4	35	6.6148
4	48	7.67297
4	44	7.79094
4	30	5.26256
4	31	5.58006
4	31	6.08135
4	43	6.49362
4	40	3.72315
4	45	3.8562
4	47	3.74104
4	44	3.57237
4	47	3.67835
4	44	3.45873
4	48	3.58864
4	38	3.42234
4	49	3.69266
4	37	3.11323
4	38	3.19388
4	29	3.02503
4	28	5.95502
4	19	4.24727
4	25	4.50262
4	10	3.636
4	35	4.80809
4	61	9.52925
4	68	11.3518
4	33	6.11491
4	51	5.13291
4	40	3.94802
4	64	6.27201
4	55	5.12052
4	39	3.83204
4	50	4.7352
4	49	4.71962
4	54	5.52142
4	68	6.73606
4	64	6.65323
4	53	4.98615
4	47	4.95035
4	38	3.97676
4	36	3.66486
4	35	3.93827
4	35	3.46231
4	41	4.44737
4	39	4.22282
4	66	6.11031
4	75	7.26124
4	69	6.84804
4	53	4.89046
4	68	6.07158
4	61	5.83758
4	73	7.18315
4	57	5.48371
4	73	7.38568
4	53	4.96763
4	67	6.30899
4	50	4.72239
4	54	4.93367
4	27	3.05599
4	29	3.06168
4	30	3.09264
4	28	3.02359
4	24	2.73671
4	28	2.85719
4	22	2.64958
4	22	2.97096
4	43	4.26385
4	28	3.00889
4	33	3.10011
4	35	3.16833
4	33	3.14205
4	40	3.32228
4	40	3.22715
4	38	3.175
4	42	3.2083
4	37	3.01416
4	42	4.00983
4	27	3.26927
4	35	3.51281
4	42	4.10927
4	40	4.03205
4	35	3.40083
4	44	4.25005
4	47	4.28878
4	57	5.1424
4	55	4.76265
4	63	5.62273
4	22	3.09663
4	13	2.89168
4	56	4.76975
4	51	4.62448
4	28	2.78379
4	34	2.87425
4	39	4.01943
4	29	2.91416
4	34	3.68263
4	34	4.55169
4	22	2.76959
4	34	2.84962
4	26	6.07308
4	27	5.58347
4	30	4.69956
4	27	5.77023
4	24	5.35829
4	25	5.19641
4	24	4.8203
4	20	3.81339
4	9	4.33114
4	20	4.8914
4	23	5.17338
4	16	4.63548
4	19	4.39972
4	20	2.39626
2	9	2.31113
4	22	2.44617
4	13	2.84415
4	56	5.31244
4	29	3.44539
4	43	4.49455
4	43	7.27147
4	48	7.96773
4	51	7.83108
4	74	14.0329
4	65	11.8084
4	70	9.18494
4	63	6.41727
4	69	6.30719
4	83	7.4986
4	73	6.33818
4	74	6.89207
4	67	6.07338
4	82	7.93076
4	68	6.09704
4	70	6.91706
4	69	6.62757
4	75	5.57139
4	45	4.22748
4	46	4.77008
4	55	4.91632
4	50	9.91988
4	50	7.55021
4	23	4.01092
4	23	3.95964
4	22	3.84003
4	23	3.77051
4	21	3.74071
4	21	3.6866
4	21	3.76041
4	20	3.3171
4	19	2.32299
4	15	2.60103
4	20	2.33854
4	23	2.31063
4	23	2.27458
4	20	2.28545
4	17	2.25598
4	13	2.17807
2	8	3.28904
1	6	1.09333
4	67	10.7328
4	89	17.2245
4	55	8.12318
4	80	11.7742
4	63	9.14075
4	74	8.77457
4	73	6.90287
4	89	8.66579
4	84	8.12086
4	70	6.70349
4	76	7.14594
4	92	8.7999
4	78	7.40267
4	80	6.66841
4	90	7.54535
4	79	6.84127
4	90	7.98251
4	76	6.52704
4	99	9.41142
4	82	7.43793
4	74	7.31024
4	86	8.15124
4	76	7.49581
4	68	6.30387
4	61	5.59058
4	87	8.01525
4	68	6.06317
4	50	4.25664
4	48	4.43829
4	37	3.50315
4	59	4.92512
4	39	4.00812
4	60	5.04057
4	59	5.12915
4	61	5.24424
4	59	4.76405
4	39	3.68489
4	60	5.04027
4	52	4.26228
4	58	4.54004
4	53	4.73965
4	37	3.33968
4	42	3.637
4	39	3.30123
4	38	3.02932
4	48	4.08817
4	67	5.7702
4	63	5.66034
4	59	5.23489
4	60	4.88419
4	78	6.87728
4	70	6.47878
4	59	5.02362
4	64	5.70466
4	62	5.12259
4	69	5.56067
4	63	4.75993
4	72	6.14409
4	63	4.86037
4	78	6.69174
4	75	6.80086
4	83	7.76628
4	83	7.45672
4	77	7.31337
4	83	7.63225
4	78	7.1184
4	89	8.07772
4	72	6.33274
4	87	7.78975
4	82	7.22013
4	84	7.29869
4	82	7.4843
4	82	7.3993
4	77	6.89012
4	45	3.7378
4	18	2.29565
4	17	2.2152
4	15	2.10987
4	24	2.36746
4	28	2.47702
4	25	2.31761
4	32	2.51886
4	33	2.56859
4	32	2.89981
4	27	2.59963
4	38	3.12138
4	14	2.38677
4	15	2.01871
4	42	3.26635
4	51	3.68685
4	7	3.5546
4	11	1.90434
4	17	2.31641
4	35	3.23886
4	24	3.01572
4	22	2.98385
4	47	4.40352
