NReq	NNode	NDomain	Time(ms)
259	10	31	0.52409
261	10	31	0.52698
263	10	31	0.53346
265	10	31	0.54099
267	10	31	0.54985
269	10	31	0.56215
271	10	31	0.562181
273	10	31	0.56859
275	10	31	0.57832
277	10	31	0.58879
279	10	31	0.59558
281	10	31	0.60712
283	10	31	0.60419
285	10	31	0.61521
287	10	31	0.61779
289	10	31	0.63121
291	10	31	0.64399
293	10	31	0.64506
295	10	31	0.6558
297	10	31	0.66489
299	10	31	0.67578
301	10	31	0.67587
303	10	31	0.68202
305	10	31	0.68773
307	10	31	0.69445
309	10	31	0.71489
311	10	31	0.71484
313	10	31	0.72175
315	10	31	0.730851
317	10	31	0.7458
319	10	31	0.83566
321	10	31	0.75727
323	10	31	0.76478
325	10	31	0.781051
327	10	31	0.778999
329	10	31	0.78461
331	10	31	0.79499
333	10	31	0.81266
335	10	31	0.81536
337	10	31	0.818121
339	10	31	0.82432
341	10	31	0.84989
343	10	31	0.84662
345	10	31	0.85415
347	10	31	0.87048
349	10	31	0.87556
351	10	31	0.87938
353	10	31	0.89462
355	10	31	0.90009
357	10	31	0.90929
359	10	31	0.917951
361	10	31	0.93378
363	10	31	0.93021
365	10	31	0.94342
367	10	31	0.957089
369	10	31	0.971801
371	10	31	0.97515
373	10	31	0.97444
375	10	31	0.99597
377	10	31	0.999691
379	10	31	1.02884
381	10	31	1.02696
383	10	31	1.0278
385	10	31	1.0353
387	10	31	1.05302
389	10	31	1.05505
391	10	31	1.06506
393	10	31	1.08991
395	10	31	1.08771
397	10	31	1.0966
399	10	31	1.11722
401	10	31	1.1228
403	10	31	1.12771
405	10	31	1.14635
407	10	31	1.15107
409	10	31	1.15433
411	10	31	1.17159
413	10	31	1.17347
415	10	31	1.20044
417	10	31	1.19682
419	10	31	1.20176
421	10	31	1.22607
423	10	31	1.22991
425	10	31	1.23887
427	10	31	1.251
429	10	31	1.26059
431	10	31	1.27742
433	10	31	1.28006
435	10	31	1.29176
437	10	31	1.29885
439	10	31	1.31803
441	10	31	1.32337
443	10	31	1.3367
445	10	31	1.34858
