N	Time(ms)
358	0.02863
359	0.03541
359	0.03277
359	0.029461
359	0.02982
360	0.03406
360	0.03359
360	0.02964
360	0.03036
361	0.033771
361	0.03389
361	0.02992
361	0.0303
362	0.03431
362	0.03492
362	0.03006
362	0.032931
363	0.03495
363	0.03763
363	0.04063
363	0.0415
364	0.047121
364	0.04681
364	0.04159
364	0.04139
365	0.04868
365	0.047171
365	0.04141
365	0.04301
366	0.066401
366	0.04954
366	0.04429
366	0.04863
367	0.05682
367	0.04704
367	0.04211
367	0.045341
368	0.05034
368	0.04747
368	0.04257
368	0.04516
369	0.048621
369	0.04697
369	0.0422
369	0.04406
370	0.048891
370	0.04833
370	0.04253
370	0.0448
371	0.049671
371	0.04773
371	0.04299
371	0.04484
372	0.049011
372	0.04963
372	0.04238
372	0.0445
373	0.051011
373	0.04889
373	0.04364
373	0.04521
374	0.070051
374	0.05465
374	0.05029
374	0.046761
375	0.0589
375	0.05233
375	0.04397
375	0.047991
376	0.05254
376	0.051
376	0.04402
376	0.0473
377	0.052761
377	0.05415
377	0.04598
377	0.04651
378	0.052961
378	0.0587
378	0.04766
378	0.04846
379	0.053001
379	0.05613
379	0.04751
379	0.04708
380	0.053761
380	0.05544
380	0.04753
380	0.04912
381	0.056881
381	0.04254
381	0.03829
381	0.0388
382	0.04131
382	0.038921
382	0.03557
382	0.0359
383	0.04059
383	0.05142
383	0.048461
383	0.05375
384	0.05604
384	0.0544
384	0.049581
384	0.05399
385	0.05781
385	0.05735
385	0.048211
385	0.04842
386	0.05449
386	0.05194
386	0.048191
386	0.05073
387	0.05448
387	0.05174
387	0.04802
387	0.05018
388	0.05453
388	0.05177
388	0.0484
388	0.048411
389	0.05375
389	0.05233
389	0.04872
389	0.050581
390	0.05444
390	0.05293
390	0.04918
390	0.051531
391	0.05474
391	0.0556
391	0.04919
391	0.050301
392	0.05567
392	0.05547
392	0.04973
392	0.052161
393	0.07762
393	0.070011
393	0.05206
393	0.06026
394	0.05909
394	0.057411
394	0.05052
394	0.05066
395	0.057751
395	0.06077
395	0.05471
395	0.05408
396	0.058671
396	0.05754
396	0.05104
396	0.054011
397	0.05791
397	0.05667
397	0.05198
397	0.054741
398	0.05801
398	0.05739
398	0.052471
398	0.05193
399	0.06225
399	0.059391
399	0.05253
399	0.05462
400	0.05928
400	0.061041
400	0.05917
400	0.05138
401	0.066781
401	0.07673
401	0.05607
401	0.056531
402	0.082151
402	0.07048
402	0.05684
402	0.064181
403	0.06406
403	0.06182
403	0.0548
403	0.058681
404	0.06255
404	0.06143
404	0.055541
404	0.06155
405	0.06271
405	0.06676
405	0.056411
405	0.057
406	0.06375
406	0.061011
406	0.05732
406	0.06057
407	0.06492
407	0.063261
407	0.0564
407	0.0586
408	0.06373
408	0.08952
408	0.05975
408	0.061281
409	0.06578
409	0.06429
409	0.05803
409	0.06076
410	0.074561
410	0.05334
410	0.04586
410	0.04678
411	0.049951
411	0.04696
411	0.04422
411	0.0485
412	0.050141
412	0.04701
412	0.04421
412	0.06006
413	0.066911
413	0.06709
413	0.06162
413	0.063361
414	0.06644
414	0.06758
414	0.058901
414	0.06606
415	0.06782
415	0.065471
415	0.0617
415	0.06478
416	0.067811
416	0.06759
416	0.06114
416	0.063891
417	0.06701
417	0.06611
417	0.060191
417	0.062
418	0.09235
418	0.07087
418	0.063151
418	0.06468
419	0.0692
419	0.064181
419	0.06069
419	0.06684
420	0.068181
420	0.06413
420	0.0608
420	0.06504
421	0.067421
421	0.06348
421	0.06112
421	0.063591
422	0.06832
422	0.06684
422	0.061071
422	0.06414
423	0.06859
423	0.06485
423	0.062341
423	0.06434
424	0.06856
424	0.064101
424	0.06222
424	0.0654
425	0.068861
425	0.06799
425	0.06186
425	0.0638
426	0.069661
426	0.06487
426	0.0632
426	0.071771
427	0.07809
427	0.06848
427	0.063171
427	0.06704
428	0.07043
428	0.06914
428	0.06351
428	0.066681
429	0.06954
429	0.06839
429	0.063101
429	0.0666
430	0.1032
430	0.07558
430	0.066491
430	0.06906
431	0.07248
431	0.068311
431	0.06512
431	0.06645
432	0.073031
432	0.06897
432	0.06499
432	0.065161
433	0.07113
433	0.06869
433	0.065671
433	0.06638
434	0.07245
434	0.06892
434	0.06594
434	0.06548
435	0.07228
435	0.069221
435	0.06582
435	0.066
436	0.070941
436	0.07066
436	0.06498
436	0.064391
437	0.245231
437	0.099491
437	0.08906
437	0.09107
438	0.096551
438	0.09207
438	0.086331
438	0.08627
439	0.094591
439	0.09192
439	0.08557
439	0.094111
440	0.12537
440	0.092271
440	0.0864
440	0.091601
441	0.09761
441	0.093981
441	0.08653
441	0.08872
442	0.096061
442	0.09423
442	0.085741
442	0.08905
443	0.096141
443	0.08997
443	0.08852
443	0.090731
444	0.09873
444	0.095121
444	0.08797
444	0.09173
445	0.09707
445	0.09484
445	0.087371
445	0.09024
446	0.098371
446	0.09568
446	0.104481
446	0.08901
447	0.07441
447	0.058881
447	0.05454
447	0.05587
448	0.05737
448	0.053911
448	0.05194
448	0.05846
449	0.07566
449	0.077061
449	0.07412
449	0.077021
450	0.07904
450	0.07553
450	0.072581
450	0.07729
451	0.0815
451	0.077141
451	0.07325
451	0.07531
452	0.080351
452	0.07785
452	0.07276
452	0.076411
453	0.07985
453	0.07577
453	0.073871
453	0.07871
454	0.080521
454	0.07739
454	0.07435
454	0.077661
455	0.08004
455	0.10431
455	0.083201
455	0.07932
456	0.081921
456	0.07945
456	0.07435
456	0.078511
457	0.08251
457	0.08037
457	0.075091
457	0.07766
458	0.07786
458	0.06404
458	0.059631
458	0.06109
459	0.06305
459	0.059341
459	0.05824
459	0.06259
460	0.06434
460	0.060371
460	0.05863
460	0.06609
461	0.084431
461	0.08211
461	0.078101
461	0.08098
462	0.08497
462	0.08101
462	0.07824
462	0.082401
463	0.09194
463	0.083741
463	0.07846
463	0.08112
464	0.085351
464	0.08394
464	0.078921
464	0.08204
465	0.084991
465	0.08328
465	0.08006
465	0.093241
466	0.08811
466	0.082391
466	0.08694
466	0.08257
467	0.081601
467	0.06802
467	0.06156
467	0.067881
468	0.06545
468	0.06325
468	0.073331
468	0.08077
469	0.08777
469	0.08464
469	0.08046
469	0.084321
470	0.08823
470	0.084821
470	0.08111
470	0.08498
471	0.088241
471	0.08497
471	0.081431
471	0.08471
472	0.088551
472	0.08668
472	0.082231
472	0.08237
473	0.09129
473	0.088251
473	0.08257
473	0.085061
474	0.09058
474	0.103411
474	0.0875
